B03, Trade, 85882.067, 129, B03, S02, 1
B03, Trade, 85892.117, 123, B03, S07, 1
B03, Trade, 85902.000, 122, B03, S16, 1
B03, Trade, 85919.550, 121, B03, S06, 1
B03, Trade, 85937.150, 94, B03, S20, 1
B03, Trade, 85942.833, 109, S19, B03, 1
B03, Trade, 85962.583, 110, B03, S09, 1
B03, Trade, 85971.000, 126, S13, B03, 1
B03, Trade, 85984.667, 110, B03, S18, 1
B03, Trade, 85991.400, 106, B03, S12, 1
B03, Trade, 86001.583, 87, S20, B03, 1
B03, Trade, 86009.950, 102, B03, S05, 1
B03, Trade, 86015.983, 122, B03, S09, 1
B03, Trade, 86019.067, 123, B03, S03, 1
B03, Trade, 86026.617, 124, B03, S25, 1
B03, Trade, 86048.533, 119, B03, S29, 1
B03, Trade, 86054.333, 86, B03, S17, 1
B03, Trade, 86065.700, 115, B03, S22, 1
B03, Trade, 86068.917, 116, B03, S29, 1
B03, Trade, 86085.050, 128, B03, S20, 1
B03, Trade, 86114.433, 116, B03, S03, 1
B03, Trade, 86123.033, 123, S14, B03, 1
B03, Trade, 86145.133, 97, B03, S23, 1
B03, Trade, 86175.000, 93, B03, S03, 1
B03, Trade, 86188.683, 110, B03, S28, 1
B03, Trade, 86200.100, 108, B03, S17, 1
B03, Trade, 86210.017, 120, B03, S26, 1
B03, Trade, 86238.800, 121, B03, S08, 1
B03, Trade, 86248.133, 110, B03, S22, 1
B03, Trade, 86257.550, 93, B03, S22, 1
B03, Trade, 86261.833, 124, B03, S04, 1
B03, Trade, 86277.583, 106, B03, S25, 1
B03, Trade, 86340.283, 108, B03, S03, 1
B03, Trade, 86362.017, 110, B03, S06, 1
B03, Trade, 86379.150, 133, B03, S09, 1
B03, Trade, 86388.117, 118, S22, B03, 1
B03, Trade, 86398.383, 102, B03, S20, 1
B04, 100
B04, Trade, 85845.500, 122, S14, B04, 1
B04, Trade, 85848.050, 130, B04, S25, 1
B04, Trade, 85852.150, 120, B04, S15, 1
B04, Trade, 85859.650, 100, B04, S03, 1
B04, Trade, 85866.633, 140, B04, S29, 1
B04, Trade, 85870.600, 106, B04, S09, 1
B04, Trade, 85878.033, 134, B04, S05, 1
B04, Trade, 85883.567, 124, B04, S09, 1
B04, Trade, 85887.033, 93, B04, S25, 1
B04, Trade, 85890.400, 140, B04, S03, 1
B04, Trade, 85899.667, 108, B04, S21, 1
B04, Trade, 85906.050, 140, B04, S15, 1
B04, Trade, 85906.533, 140, B04, S23, 1
B04, Trade, 85912.267, 130, B04, S13, 1
B04, Trade, 85920.650, 93, B04, S02, 1
B04, Trade, 85924.633, 140, B04, S20, 1
B04, Trade, 85927.933, 136, B04, S21, 1
B04, Trade, 85932.350, 129, B04, S28, 1
B04, Trade, 85942.850, 95, B04, S29, 1
B04, Trade, 85949.067, 140, B04, S14, 1
B04, Trade, 85952.267, 131, B04, S23, 1
B04, Trade, 85957.300, 139, B04, S02, 1
B04, Trade, 85965.267, 140, B04, S00, 1
B04, Trade, 85969.017, 125, B04, S02, 1
B04, Trade, 85974.000, 136, B04, S28, 1
B04, Trade, 85978.983, 140, B04, S17, 1
B04, Trade, 85983.267, 139, B04, S12, 1
B04, Trade, 85989.667, 103, B04, S25, 1
B04, Trade, 85990.317, 114, B04, S03, 1
B04, Trade, 85997.583, 98, B04, S03, 1
